t,x,y,z,speed
4.46,267.708,22.408,100.902,59.9951
4.47,268.306,22.456,100.907,59.9942
4.48,268.904,22.504,100.911,59.9935
4.49,269.502,22.552,100.914,59.993
4.5,270.1,22.6,100.916,59.9926
4.51,270.698,22.648,100.916,59.9924
4.52,271.296,22.696,100.916,59.9923
4.53,271.894,22.744,100.915,59.9924
4.54,272.492,22.792,100.913,59.9927
4.55,273.09,22.84,100.91,59.9931
4.56,273.688,22.888,100.906,59.9937
4.57,274.286,22.936,100.901,59.9945
4.58,274.884,22.984,100.895,59.9954
4.59,275.482,23.032,100.888,59.9965
4.6,276.08,23.08,100.88,59.9977
4.61,276.678,23.128,100.871,59.9991
4.62,277.276,23.176,100.861,60.0006
4.63,277.874,23.224,100.85,60.0023
4.64,278.472,23.272,100.838,60.0042
4.65,279.07,23.32,100.825,60.0062
4.66,279.668,23.368,100.811,60.0084
4.67,280.266,23.416,100.796,60.0108
4.68,280.864,23.464,100.78,60.0133
4.69,281.462,23.512,100.763,60.016
4.7,282.06,23.56,100.746,60.0188
4.71,282.658,23.608,100.727,60.0218
4.72,283.256,23.656,100.707,60.0249
4.73,283.854,23.704,100.686,60.0283
4.74,284.452,23.752,100.664,60.0317
4.75,285.05,23.8,100.642,60.0354
4.76,285.648,23.848,100.618,60.0392
4.77,286.246,23.896,100.593,60.0431
4.78,286.844,23.944,100.568,60.0472
4.79,287.442,23.992,100.541,60.0515
4.8,288.04,24.04,100.513,60.0559
4.81,288.638,24.088,100.485,60.0605
4.82,289.236,24.136,100.455,60.0653
4.83,289.834,24.184,100.425,60.0702
4.84,290.432,24.232,100.393,60.0753
4.85,291.03,24.28,100.36,60.0805
4.86,291.628,24.328,100.327,60.0859
4.87,292.226,24.376,100.292,60.0914
4.88,292.824,24.424,100.257,60.0971
4.89,293.422,24.472,100.221,60.103
4.9,294.02,24.52,100.183,60.109
4.91,294.618,24.568,100.145,60.1152
4.92,295.216,24.616,100.105,60.1216
4.93,295.814,24.664,100.065,60.1281
4.94,296.412,24.712,100.024,60.1348
4.95,297.01,24.76,99.9812,60.1416
4.96,297.608,24.808,99.9379,60.1486
4.97,298.206,24.856,99.8936,60.1557
4.98,298.804,24.904,99.8483,60.163
4.99,299.402,24.952,99.802,60.1705
5,300,25,99.7547,60.1781
5.01,300.598,25.048,99.7065,60.1859
5.02,301.196,25.096,99.6573,60.1938
5.03,301.794,25.144,99.6071,60.2019
5.04,302.392,25.192,99.5559,60.2102
5.05,302.99,25.24,99.5038,60.2186
5.06,303.588,25.288,99.4506,60.2272
5.07,304.186,25.336,99.3965,60.2359
5.08,304.784,25.384,99.3414,60.2448
5.09,305.382,25.432,99.2854,60.2539
